Kode Barang;Nama Barang;Jumlah Unit;Unit;Minimum Order / Unit;Jumlah / Unit;Satuan; Harga Barang / Satuan (Rp) 
PRO-143;Sejadah Motif Kream (Sajadah Besar) @1 Pcs;5;Pcs;1 Pcs;1;Pcs; 49.000,00 
PRO-144;Boneka Capit Karakter @1 Pcs;2;Pcs;1 Pcs;1;Pcs; 15.000,00 
UMMS-747;Kop Surat @1 Rim;25;Rim;1 Rim;1;Rim; 97.000,00 
IDSS-119;Bukti Setoran Syariah @250 Set;173;Pack;1 Pack;250;Set; 117,60 
IDSS-128;Ketentuan-Ketentuan ATM @100 Set;327;Pack;1 Pack;100;Set; 810,30 
IDSS-162;Bukti Setoran Kliring Syariah @250 Set;108;Pack;1 Pack;250;Set; 299,70 
IDSS-187;Form Pembukaan Rek Deposito @50 Set;66;Pack;1 Pack;50;Set; 233,10 
IDSS-201;Ketentuan-Ketentuan Tahapan @100 Set;2;Pack;1 Pack;100;Set; 900,21 
IDSS-201;Ketentuan Tahapan IDSS201/2024 @100 Set;2;Pack;1 Pack;100;Set;
IDSS-202;Nota Debet  @100 Set;448;Pack;1 Pack;100;Set; 165,39 
IDSS-204;Ketentuan-Ketentuan Giro @100 Set;51;Pack;1 Pack;100;Set; 1.465,20 
IDSS-211;Ketentuan Rahapan Rencana IB @100 Set;199;Pack;1 Pack;100;Set; 405,15 
IDSS-212;Tanda Kepesertaan Tahapan Rencana @50 Set;2;Pack;1 Pack;50;Set; 1.499,61 
IDSS-301;Nota Kredit @100 Set;199;Buku;1 Buku;100;Set; 182,04 
IDSS-401;Transaksi Dalam Penyelesaian @250 Set;2;Buku;1 Buku;250;Set; 168,72 
IDSS-601;Buku Bilyet Deposito @50 Set;135;Pack;1 Buku;50;Set; 1.803,75 
ITSS-101;Transaksi Kiriman Uang  @200 Set;2;Pack;1 Pack;200;Set; 444,00 
UMMS-120;Formulir Keluhan @50 Set;2;Pack;1 Pack;50;Set; 850,26 
UMMS-401;Slip Pembukuan Debet @250 Set;83;Pack;1 Pack;250;Set; 72,15 
UMMS-501;Slip Pembukuan Kredit @250 Set;252;Pack;1 Pack;250;Set; 92,13 
